window_title,quadrant
studying Git Practice,1
attending Schedule Change (Outlook),2
Algorithms Troubleshooting on GitHub [urgent],0
answering Quick Question (Zoom),2
confirming Discord Ping,2
Capstone Project Testing on Microsoft Word [important],0
pressing: thesis manuscript (Jupyter Notebook),0
forwarding Attendance Check (Slack),2
updating Task Reminder (WhatsApp),2
Reviewing submission - time-sensitive,0
pressing: simulation output (Google Docs),0
project proposal Submitting on Proteus [mandatory],0
Thesis Debugging on Canvas [time-sensitive],0
approving Verification Request,2
documentation Drafting on Microsoft Word [pressing],0
monitoring Document Signature (Microsoft Teams),2
rush: simulation output (Jupyter Notebook),0
roadmap creation for Long-Term Planning,1
checking Chat Support,2
high-priority: Database Management (Google Docs),0
asap: final report (Canvas),0
rescheduling Group Chat (Discord),2
Logic Gates Formatting on GitHub [high-priority],0
monitoring Urgent Reply (Facebook),2
project proposal Reviewing on Google Docs [time-sensitive],0
important: Algorithms (Microsoft Word),0
rescheduling Verification Request,2
monitoring Discord Ping,2
outlining for Software Design,1
laboratory exercise Compiling on Packet Tracer [accelerated],0
scheduling for Algorithm Practice,1
Capstone Project refactoring,1
responding Unplanned Meeting (Microsoft Teams),2
Project Proposal Submitting on Google Docs [time-sensitive],0
Designing thesis manuscript - asap,0
Unplanned Meeting - Outlook,2
thesis manuscript Reviewing on GitHub [asap],0
studying Study Session,1
critical: Logic Gates (Google Docs),0
Algorithms Designing on Packet Tracer [immediate],0
Debugging 8086 Assembly - instant,0
mastering Microprocessors,1
Designing project proposal - deadline,0
Logic Gates Troubleshooting on Jupyter Notebook [urgent],0
Troubleshooting Algorithms - immediate,0
Requirement Analysis backup management,1
Debugging project proposal - instant,0
Prototype Improvement preventive review,1
Version Control Learning backup management,1
planning for Network Fundamentals,1
Testing Circuit Simulation - asap,0
Approval Request - Google Meet,2
immediate: Embedded Systems (Packet Tracer),0
simulation output Designing on StackOverflow [deadline],0
reviewing quickly Reminder Message (Slack),2
developing Project Proposal,1
Phone Call - Telegram,2
answering Announcement Review (Messenger),2
Performance Optimization cleanup,1
organizing for Goal Setting,1
Circuit Simulation Testing on Microsoft Word [accelerated],0
rescheduling Minor Formatting Request (Messenger),2
presentation slides Drafting on Excel [final],0
Personal Development cleanup,1
Submitting submission - pressing,0
Algorithms Debugging on VS Code [instant],0
answering Queue Monitoring,2
urgent: Project Proposal (Canvas),0
important: Logic Gates (Canvas),0
mastering Network Fundamentals,1
Database Management Simulating on Jupyter Notebook [emergency],0
replying Routine Request (Discord),2
Database Management Submitting on Excel [important],0
reviewing Knowledge Review,1
reviewing quickly Discord Ping,2
improving Productivity Planning,1
presentation slides Submitting on Tinkercad [immediate],0
Formatting Algorithms - priority,0
forwarding Faculty Notice (Messenger),2
Embedded Systems Testing on Tinkercad [priority],0
critical: Project Proposal (Microsoft Word),0
important: Laboratory Exercise (GitHub),0
reviewing quickly Quick Call (Messenger),2
following up Approval Request (Gmail),2
laboratory exercise Debugging on Excel [instant],0
rescheduling Quick Call (Microsoft Teams),2
Simulating final report - priority,0
urgent: Thesis (GitHub),0
reacting Client Inquiry (Slack),2
reviewing quickly Event Reminder,2
instant: presentation slides (Tinkercad),0
mastering Feasibility Analysis,1
rescheduling Meeting Request,2
responding Queue Monitoring,2
Git Practice cleanup,1
reviewing quickly Chat Support (Canvas Notifications),2
System Analysis Formatting on Jupyter Notebook [emergency],0
Future Proposal Drafting preventive review,1
learning UI/UX Improvement,1
Debugging Thesis - immediate,0
approving Queue Monitoring (Discord),2
project proposal Simulating on Jupyter Notebook [pressing],0
mastering Cybersecurity Learning,1
checking Notifications (Microsoft Teams),2
Debugging laboratory exercise - high-priority,0
thesis manuscript Submitting on StackOverflow [emergency],0
critical: simulation output (VS Code),0
Microprocessors Testing on StackOverflow [time-sensitive],0
improving Cloud Fundamentals,1
rush: Algorithms (StackOverflow),0
outlining for Performance Optimization,1
Formatting Final Report - accelerated,0
Project Proposal Coding on Microsoft Word [instant],0
Embedded Systems Simulating on Excel [time-sensitive],0
Exam Review refactoring,1
Circuit Simulation Formatting on StackOverflow [accelerated],0
answering Phone Call (Discord),2
updating Routine Request,2
monitoring Messenger Chat (Discord),2
reviewing quickly Quick Question (Telegram),2
source code Testing on StackOverflow [critical],0
important: Microprocessors (StackOverflow),0
Simulating source code - immediate,0
Long-Term Planning refactoring,1
improving Workflow Improvement,1
approving Verification Request (Canvas Notifications),2
emergency: Embedded Systems (VS Code),0
scheduling for Exam Review,1
Troubleshooting documentation - high-priority,0
Writing Database Management - pressing,0
final: 8086 Assembly (Excel),0
confirming Clarification Request,2
Schedule Change - Slack,2
planning for Feasibility Analysis,1
final: Capstone Project (StackOverflow),0
Status Update - Google Meet,2
final: Technical Documentation (VS Code),0
scheduling for Habit Tracking,1
Submitting Embedded Systems - emergency,0
rush: Embedded Systems (GitHub),0
roadmap creation for Habit Tracking,1
Embedded Systems Troubleshooting on Tinkercad [accelerated],0
Formatting simulation output - asap,0
answering Schedule Change (Telegram),2
replying Announcement Review,2
thesis manuscript Compiling on VS Code [mandatory],0
reacting Follow-Up Request (Microsoft Teams),2
accelerated: Project Proposal (Canvas),0
urgent: System Analysis (GitHub),0
Reschedule Notice - Microsoft Teams,2
Simulating Algorithms - emergency,0
Drafting System Analysis - emergency,0
confirming Calendar Notification (Zoom),2
pressing: Thesis (Proteus),0
responding Minor Formatting Request (Discord),2
System Analysis Coding on Excel [urgent],0
studying Version Control Learning,1
immediate: Project Proposal (Microsoft Word),0
final report Formatting on Excel [high-priority],0
confirming Administrative Task,2
Algorithms Reviewing on Canvas [critical],0
Queue Monitoring - Microsoft Teams,2
Classroom Announcement - Discord,2
thesis manuscript Coding on Canvas [urgent],0
researching Learning Embedded Systems,1
Microprocessors Coding on Excel [time-sensitive],0
answering Phone Call (WhatsApp),2
immediate: thesis manuscript (Excel),0
Project Proposal cleanup,1
monitoring Email Replies (Facebook),2
high-priority: thesis manuscript (Packet Tracer),0
time-sensitive: PostgreSQL (GitHub),0
Thesis Compiling on GitHub [final],0
Routine Request - Zoom,2
forwarding Routine Request (Outlook),2
Technical Reading maintenance,1
Design Patterns cleanup,1
developing Final Report,1
strategizing for Data Structures,1
planning for Git Practice,1
rush: System Analysis (VS Code),0
mandatory: Capstone Project (Packet Tracer),0
attending Messages (Gmail),2
following up Reschedule Notice (Discord),2
important: Circuit Simulation (VS Code),0
Compiling Final Report - urgent,0
Submitting System Analysis - urgent,0
forwarding Verification Request (Microsoft Teams),2
Debugging simulation output - instant,0
Capstone Project Coding on Tinkercad [instant],0
studying Performance Optimization,1
monitoring Calendar Notification,2
following up Client Inquiry (Messenger),2
responding Announcement Review,2
rescheduling Unplanned Meeting (Discord),2
Database Management Testing on Tinkercad [rush],0
approving Faculty Notice,2
attending Status Update (Gmail),2
Writing capstone revision - emergency,0
Classroom Announcement - Microsoft Teams,2
simulation output Coding on Tinkercad [critical],0
submission Debugging on GitHub [high-priority],0
strategizing for Portfolio Building,1
reviewing quickly Administrative Task (WhatsApp),2
Testing capstone revision - accelerated,0
Drafting source code - high-priority,0
Faculty Notice - Canvas Notifications,2
instant: presentation slides (Excel),0
Testing Database Management - important,0
priority: 8086 Assembly (Proteus),0
learning Testing Strategy,1
deadline: Thesis (Microsoft Word),0
critical: System Analysis (StackOverflow),0
planning for Documentation Improvement,1
attending Team Mention (Facebook),2
practicing Microprocessors,1
Thesis Troubleshooting on GitHub [accelerated],0
Coding Technical Documentation - pressing,0
improving PostgreSQL,1
Simulating documentation - instant,0
replying Routine Request (Canvas Notifications),2
high-priority: Laboratory Exercise (Canvas),0
Submitting thesis manuscript - emergency,0
approving Quick Call,2
Learning PostgreSQL maintenance,1
immediate: Technical Documentation (Jupyter Notebook),0
pressing: final report (Canvas),0
strategizing for Code Refactoring,1
Project Proposal Compiling on Google Docs [immediate],0
simulation output Formatting on Google Docs [immediate],0
reacting Quick Call (Outlook),2
Testing final report - final,0
project proposal Simulating on GitHub [priority],0
Embedded Systems optimization,1
Data Structure Practice maintenance,1
Faculty Notice - Outlook,2
Drafting Laboratory Exercise - emergency,0
strategizing for Logic Gates,1
Simulating Circuit Simulation - time-sensitive,0
Laboratory Exercise Drafting on Microsoft Word [priority],0
answering Meeting Request,2
Designing System Analysis - instant,0
Quick Question - Zoom,2
replying Document Signature,2
replying Non-Critical Ticket,2
deadline: System Analysis (GitHub),0
Submitting System Analysis - time-sensitive,0
critical: submission (StackOverflow),0
Project Proposal Debugging on Tinkercad [critical],0
responding Classroom Announcement,2
approving Minor Revision,2
accelerated: thesis manuscript (Microsoft Word),0
replying Approval Request,2
learning Machine Learning Practice,1
Troubleshooting Project Proposal - urgent,0
thesis manuscript Writing on Jupyter Notebook [important],0
forwarding Classroom Announcement,2
Formatting Technical Documentation - instant,0
project proposal Simulating on Packet Tracer [asap],0
rush: Algorithms (Proteus),0
reviewing Cloud Fundamentals,1
updating Clarification Request (Zoom),2
Document Signature - Microsoft Teams,2
accelerated: submission (Microsoft Word),0
urgent: laboratory exercise (Microsoft Word),0
Verification Request - Telegram,2
Troubleshooting Data Structures - high-priority,0
strategizing for Technical Reading,1
Productivity Planning backup management,1
accelerated: Data Structures (StackOverflow),0
mastering Study Session,1
Document Signature - Gmail,2
Strategic Planning preventive review,1
source code Submitting on Jupyter Notebook [pressing],0
Compiling Algorithms - priority,0
priority: thesis manuscript (Canvas),0
Compiling thesis manuscript - important,0
Formatting project proposal - final,0
mandatory: documentation (Google Docs),0
roadmap creation for Code Refactoring,1
Compiling simulation output - deadline,0
Future Proposal Drafting maintenance,1
forwarding Schedule Change,2
monitoring Queue Monitoring,2
Phone Call - Microsoft Teams,2
simulation output Reviewing on StackOverflow [urgent],0
Submitting Data Structures - urgent,0
laboratory exercise Drafting on Proteus [high-priority],0
capstone revision Writing on Tinkercad [important],0
organizing for Testing Strategy,1
outlining for Project Proposal,1
critical: project proposal (Excel),0
Reviewing project proposal - important,0
replying Reminder Message,2
reviewing quickly Minor Formatting Request (Messenger),2
Goal Setting preventive review,1
confirming Urgent Reply (Discord),2
final: Microprocessors (Google Docs),0
Database Management Coding on GitHub [important],0
approving Messenger Chat,2
Quick Question - Facebook,2
checking Faculty Notice,2
Writing 8086 Assembly - final,0
capstone revision Coding on Microsoft Word [deadline],0
replying Unplanned Meeting,2
Compiling Data Structures - critical,0
attending Reminder Message (Zoom),2
forwarding Announcement Review (Discord),2
mandatory: Capstone Project (Excel),0
Designing Database Management - urgent,0
confirming Attendance Check (WhatsApp),2
responding Social Media Message,2
Circuit Simulation Reviewing on Google Docs [critical],0
roadmap creation for Learning Embedded Systems,1
forwarding Discord Ping (Google Meet),2
Algorithms Reviewing on Packet Tracer [time-sensitive],0
pressing: source code (Excel),0
strategizing for Algorithms,1
Data Structure Practice optimization,1
organizing for Portfolio Building,1
Final Report Compiling on Packet Tracer [pressing],0
Project Proposal Formatting on Google Docs [mandatory],0
reviewing Documentation Improvement,1
priority: PostgreSQL (Excel),0
practicing Circuit Simulation,1
researching Time Management,1
Formatting presentation slides - deadline,0
Technical Documentation Testing on VS Code [final],0
confirming Event Reminder (Zoom),2
learning Cybersecurity Learning,1
reviewing UI/UX Improvement,1
acknowledging Faculty Notice,2
pressing: Capstone Project (StackOverflow),0
confirming Chat Support,2
Unplanned Meeting - Facebook,2
Routine Request - Messenger,2
critical: presentation slides (Packet Tracer),0
Capstone Project Formatting on Excel [high-priority],0
Database Management Drafting on Microsoft Word [deadline],0
emergency: submission (Proteus),0
Documentation Improvement cleanup,1
reacting Minor Formatting Request,2
immediate: capstone revision (Proteus),0
Drafting submission - mandatory,0
Follow-Up Request - Google Meet,2
deadline: thesis manuscript (VS Code),0
Event Reminder - WhatsApp,2
outlining for Goal Setting,1
forwarding Email Replies (Discord),2
Circuit Simulation Submitting on Tinkercad [critical],0
Personal Development preventive review,1
simulation output Designing on Proteus [mandatory],0
acknowledging Attendance Check (Google Meet),2
documentation Reviewing on Proteus [pressing],0
critical: Logic Gates (Proteus),0
Thesis Debugging on Microsoft Word [pressing],0
answering Technical Support Request (Facebook),2
Reviewing Logic Gates - pressing,0
forwarding Technical Support Request,2
responding Discord Ping,2
simulation output Troubleshooting on Packet Tracer [asap],0
answering Messenger Chat (WhatsApp),2
immediate: capstone revision (Google Docs),0
confirming Status Update (Canvas Notifications),2
final report Simulating on GitHub [urgent],0
outlining for Code Refactoring,1
rush: final report (Tinkercad),0
Algorithms Debugging on GitHub [accelerated],0
studying Knowledge Review,1
priority: Algorithms (Jupyter Notebook),0
reviewing quickly Technical Support Request,2
answering Document Signature (Slack),2
Git Practice preventive review,1
Database Management Compiling on Microsoft Word [instant],0
reviewing Database Normalization,1
Technical Support Request - Outlook,2
preparing for Clean Code Practice,1
answering Unplanned Meeting (Canvas Notifications),2
Laboratory Exercise Designing on Canvas [high-priority],0
Designing Circuit Simulation - immediate,0
emergency: Microprocessors (StackOverflow),0
improving Microprocessors,1
Drafting Technical Documentation - instant,0
deadline: capstone revision (Tinkercad),0
Final Report Drafting on Excel [priority],0
answering Phone Call (Google Meet),2
Circuit Simulation Reviewing on Google Docs [asap],0
answering Reschedule Notice,2
acknowledging Messenger Chat,2
Troubleshooting simulation output - urgent,0
deadline: source code (Tinkercad),0
laboratory exercise Drafting on Tinkercad [asap],0
Classroom Announcement - Messenger,2
Portfolio Building preventive review,1
updating Urgent Reply,2
answering Messages (Discord),2
Microprocessors Coding on StackOverflow [urgent],0
simulation output Troubleshooting on Canvas [urgent],0
deadline: Final Report (Microsoft Word),0
high-priority: 8086 Assembly (Tinkercad),0
Database Management Simulating on Canvas [final],0
asap: submission (Proteus),0
reacting Group Chat (Outlook),2
Designing thesis manuscript - high-priority,0
confirming Social Media Message (Slack),2
confirming Messenger Chat,2
Compiling 8086 Assembly - high-priority,0
developing Research,1
Follow-Up Request - Discord,2
responding Approval Request,2
forwarding Reschedule Notice,2
priority: documentation (Microsoft Word),0
researching Feasibility Analysis,1
reviewing quickly Task Reminder,2
following up Verification Request (Facebook),2
Designing presentation slides - asap,0
deadline: Thesis (StackOverflow),0
following up Group Chat (Discord),2
priority: capstone revision (Microsoft Word),0
answering Messenger Chat (Gmail),2
Writing Algorithms - important,0
researching Knowledge Review,1
project proposal Drafting on StackOverflow [accelerated],0
asap: Data Structures (Packet Tracer),0
Debugging presentation slides - high-priority,0
acknowledging Routine Request (Gmail),2
priority: project proposal (Jupyter Notebook),0
final: Algorithms (Packet Tracer),0
approving Chat Support (Microsoft Teams),2
Debugging final report - asap,0
project proposal Coding on Packet Tracer [accelerated],0
high-priority: System Analysis (Packet Tracer),0
Final Report Drafting on Jupyter Notebook [pressing],0
reacting Classroom Announcement (Microsoft Teams),2
Task Reminder - Telegram,2
deadline: submission (Jupyter Notebook),0
answering Routine Request,2
Chat Support - Facebook,2
answering Technical Support Request (Messenger),2
learning Cloud Fundamentals,1
simulation output Reviewing on GitHub [mandatory],0
Clarification Request - Gmail,2
Follow-Up Request - Gmail,2
reviewing Design Patterns,1
Follow-Up Request - Telegram,2
following up Clarification Request,2
preparing for Feasibility Analysis,1
practicing Habit Tracking,1
strategizing for Network Fundamentals,1
Formatting Database Management - priority,0
answering Unplanned Meeting (WhatsApp),2
planning for Database Normalization,1
reviewing Network Fundamentals,1
checking Task Reminder (Microsoft Teams),2
Drafting PostgreSQL - emergency,0
approving Quick Call (Outlook),2
Testing Data Structures - rush,0
scheduling for Academic Preparation,1
planning for Machine Learning Practice,1
project proposal Simulating on VS Code [deadline],0
roadmap creation for Personal Development,1
reviewing quickly Team Mention (Discord),2
final report Troubleshooting on Microsoft Word [priority],0
high-priority: submission (Microsoft Word),0
preparing for Optimization,1
learning Version Control Learning,1
Reviewing Capstone Project - immediate,0
replying Announcement Review (Canvas Notifications),2
8086 Assembly Writing on Canvas [priority],0
approving Calendar Notification,2
Writing source code - emergency,0
roadmap creation for Documentation Improvement,1
Compiling simulation output - immediate,0
checking Email Replies,2
Simulating source code - final,0
reacting Notifications (Gmail),2
pressing: thesis manuscript (StackOverflow),0
Algorithms preventive review,1
reviewing Research Notes,1
Database Management Testing on GitHub [priority],0
confirming Email Replies,2
Research preventive review,1
outlining for Embedded Systems,1
mastering Laboratory Exercise,1
strategizing for Laboratory Exercise,1
deadline: PostgreSQL (Proteus),0
acknowledging Follow-Up Request,2
scheduling for Productivity Planning,1
critical: laboratory exercise (Canvas),0
Cloud Fundamentals cleanup,1
forwarding Calendar Notification (Gmail),2
improving Infrastructure Planning,1
Reviewing presentation slides - emergency,0
Announcement Review - Canvas Notifications,2
System Analysis backup management,1
reviewing Workflow Improvement,1
answering Status Update,2
rescheduling Queue Monitoring,2
developing Learning Python,1
approving Discord Ping,2
attending Classroom Announcement (Messenger),2
8086 Assembly Simulating on VS Code [pressing],0
organizing for Strategic Planning,1
urgent: Laboratory Exercise (VS Code),0
approving Task Reminder (Messenger),2
Requirement Analysis cleanup,1
Drafting Database Management - time-sensitive,0
attending Team Mention (Messenger),2
PostgreSQL Simulating on GitHub [time-sensitive],0
deadline: source code (VS Code),0
Status Update - Facebook,2
replying Group Chat (Microsoft Teams),2
Designing Algorithms - deadline,0
checking Calendar Notification (Telegram),2
Final Report Drafting on VS Code [asap],0
developing Career Development,1
preparing for 8086 Assembly,1
Coding final report - instant,0
monitoring Document Signature (Google Meet),2
strategizing for Prototype Improvement,1
reacting Discord Ping,2
organizing for Optimization,1
approving Notifications,2
checking Task Reminder (Zoom),2
checking Classroom Announcement,2
Capstone Project Reviewing on Jupyter Notebook [pressing],0
Coding capstone revision - high-priority,0
UI/UX Improvement optimization,1
Compiling documentation - deadline,0
Administrative Task - Telegram,2
Drafting PostgreSQL - asap,0
learning Study Session,1
8086 Assembly Simulating on Google Docs [high-priority],0
Debugging capstone revision - pressing,0
documentation Debugging on Canvas [rush],0
Quick Call - Outlook,2
attending Faculty Notice,2
final: 8086 Assembly (Canvas),0
Simulating final report - pressing,0
final report Designing on Proteus [deadline],0
Troubleshooting System Analysis - priority,0
scheduling for Design Planning,1
replying Minor Formatting Request (Microsoft Teams),2
Drafting final report - accelerated,0
Writing submission - deadline,0
Compiling Database Management - critical,0
Simulating Database Management - time-sensitive,0
attending Queue Monitoring,2
PostgreSQL maintenance,1
improving Learning PostgreSQL,1
reacting Chat Support,2
Formatting PostgreSQL - priority,0
Simulating Laboratory Exercise - asap,0
Drafting Logic Gates - emergency,0
priority: presentation slides (Google Docs),0
critical: Algorithms (Canvas),0
Git Practice monitoring,1
Writing Logic Gates - deadline,0
practicing UI/UX Improvement,1
final: Circuit Simulation (Jupyter Notebook),0
Project Proposal Formatting on Canvas [emergency],0
monitoring Phone Call (Facebook),2
Coding Data Structures - critical,0
Troubleshooting simulation output - priority,0
reviewing quickly Team Mention,2
checking Reminder Message,2
planning for Workflow Improvement,1
Designing System Analysis - emergency,0
final: Project Proposal (Excel),0
Final Report Testing on Canvas [accelerated],0
Embedded Systems Troubleshooting on Tinkercad [immediate],0
rescheduling Technical Support Request (Outlook),2
Submitting System Analysis - emergency,0
Debugging presentation slides - final,0
Debugging source code - important,0
simulation output Formatting on StackOverflow [priority],0
Simulating thesis manuscript - rush,0
rush: project proposal (Tinkercad),0
learning Software Design,1
scheduling for Preventive Maintenance,1
Reviewing Technical Documentation - pressing,0
acknowledging Announcement Review (Google Meet),2
Database Management backup management,1
Design Planning monitoring,1
8086 Assembly maintenance,1
Reschedule Notice - Slack,2
emergency: presentation slides (StackOverflow),0
developing Research Notes,1
reviewing quickly Follow-Up Request (WhatsApp),2
Messenger Chat - Telegram,2
checking Follow-Up Request (Outlook),2
Reminder Message - Facebook,2
Database Normalization backup management,1
confirming Client Inquiry (Messenger),2
reviewing quickly Event Reminder (Outlook),2
rescheduling Task Reminder (Facebook),2
submission Writing on Packet Tracer [final],0
Debugging Circuit Simulation - priority,0
approving Quick Question (Gmail),2
urgent: PostgreSQL (Proteus),0
responding Routine Request (Discord),2
Debugging Data Structures - pressing,0
final: Thesis (Microsoft Word),0
confirming Calendar Notification (Discord),2
critical: Thesis (GitHub),0
strategizing for Productivity Planning,1
Simulating project proposal - asap,0
critical: Technical Documentation (Jupyter Notebook),0
Career Development preventive review,1
presentation slides Designing on Tinkercad [immediate],0
monitoring Urgent Reply (Outlook),2
checking Clarification Request (Outlook),2
approving Minor Formatting Request (WhatsApp),2
answering Email Replies (Facebook),2
urgent: Final Report (Proteus),0
Embedded Systems preventive review,1
simulation output Designing on Packet Tracer [instant],0
acknowledging Messenger Chat (Discord),2
scheduling for Database Normalization,1
Writing source code - deadline,0
pressing: Technical Documentation (StackOverflow),0
responding Calendar Notification (Zoom),2
preparing for Research Review,1
documentation Reviewing on Canvas [accelerated],0
updating Email Replies,2
Capstone Project Reviewing on Excel [asap],0
8086 Assembly backup management,1
rush: Embedded Systems (Google Docs),0
Testing simulation output - high-priority,0
attending Team Mention (Canvas Notifications),2
updating Client Inquiry (Microsoft Teams),2
Reading Materials preventive review,1
approving Group Chat,2
Algorithms Debugging on Packet Tracer [critical],0
documentation Formatting on Jupyter Notebook [emergency],0
important: laboratory exercise (StackOverflow),0
asap: PostgreSQL (Jupyter Notebook),0
Project Proposal Compiling on Google Docs [time-sensitive],0
Calendar Notification - Microsoft Teams,2
Laboratory Exercise Compiling on Google Docs [priority],0
preparing for Performance Optimization,1
Clean Code Practice cleanup,1
accelerated: project proposal (Excel),0
pressing: Logic Gates (StackOverflow),0
Cloud Fundamentals monitoring,1
time-sensitive: PostgreSQL (Microsoft Word),0
time-sensitive: laboratory exercise (GitHub),0
Troubleshooting Final Report - asap,0
Reviewing Technical Documentation - instant,0
outlining for Future Proposal Drafting,1
Queue Monitoring - Messenger,2
simulation output Formatting on Jupyter Notebook [critical],0
rush: thesis manuscript (Google Docs),0
Database Management Debugging on StackOverflow [pressing],0
source code Designing on Google Docs [pressing],0
reacting Follow-Up Request (Discord),2
Writing Laboratory Exercise - critical,0
learning Skill Development,1
updating Reschedule Notice,2
capstone revision Coding on Jupyter Notebook [important],0
final: project proposal (StackOverflow),0
urgent: Laboratory Exercise (Proteus),0
acknowledging Inbox Review,2
confirming Event Reminder (Gmail),2
priority: presentation slides (VS Code),0
forwarding Verification Request (Gmail),2
roadmap creation for Preventive Maintenance,1
Writing capstone revision - rush,0
Testing Laboratory Exercise - high-priority,0
reacting Administrative Task (Telegram),2
Team Mention - WhatsApp,2
reacting Unplanned Meeting,2
important: project proposal (Jupyter Notebook),0
checking Group Chat,2
reviewing Testing Strategy,1
capstone revision Submitting on StackOverflow [instant],0
checking Clarification Request,2
mastering Final Report,1
instant: Embedded Systems (Proteus),0
Thesis Testing on Excel [critical],0
accelerated: Database Management (Canvas),0
critical: Embedded Systems (Canvas),0
capstone revision Testing on Canvas [rush],0
answering Notifications,2
mandatory: Technical Documentation (Jupyter Notebook),0
researching Clean Code Practice,1
UI/UX Improvement preventive review,1
Quick Call - Microsoft Teams,2
asap: project proposal (Microsoft Word),0
emergency: Algorithms (Google Docs),0
Troubleshooting Final Report - immediate,0
thesis manuscript Debugging on GitHub [instant],0
Data Structures Testing on GitHub [priority],0
Simulating capstone revision - immediate,0
Minor Formatting Request - Google Meet,2
following up Minor Formatting Request (WhatsApp),2
Group Chat - Google Meet,2
accelerated: Final Report (StackOverflow),0
System Analysis Compiling on GitHub [accelerated],0
Reminder Message - Telegram,2
forwarding Phone Call (Canvas Notifications),2
roadmap creation for Requirement Analysis,1
reacting Quick Question (Zoom),2
source code Reviewing on GitHub [immediate],0
reviewing quickly Queue Monitoring (Messenger),2
researching Embedded Systems,1
mastering Code Refactoring,1
improving Academic Preparation,1
forwarding Document Signature (Canvas Notifications),2
Drafting Data Structures - time-sensitive,0
Coding documentation - final,0
Quick Question - Google Meet,2
Messenger Chat - Google Meet,2
reacting Reminder Message,2
Minor Revision - Outlook,2
Formatting Project Proposal - rush,0
studying Project Proposal,1
confirming Verification Request,2
reviewing quickly Notifications,2
priority: simulation output (Canvas),0
Feasibility Analysis cleanup,1
Coding Data Structures - asap,0
documentation Drafting on Microsoft Word [accelerated],0
high-priority: Final Report (Microsoft Word),0
submission Debugging on Proteus [immediate],0
Exam Review cleanup,1
approving Reminder Message,2
outlining for Feasibility Analysis,1
updating Follow-Up Request (Facebook),2
Database Management Submitting on Canvas [accelerated],0
Project Proposal Drafting on GitHub [instant],0
acknowledging Reminder Message (Facebook),2
rescheduling Minor Revision (Messenger),2
improving Algorithm Practice,1
learning Future Proposal Drafting,1
deadline: Logic Gates (Excel),0
Administrative Task - Discord,2
Debugging Thesis - time-sensitive,0
Project Proposal Designing on Excel [emergency],0
rescheduling Client Inquiry (Facebook),2
checking Phone Call (Slack),2
Database Management Writing on GitHub [urgent],0
source code Compiling on Google Docs [critical],0
Git Practice backup management,1
reviewing quickly Routine Request (Messenger),2
Testing Microprocessors - accelerated,0
Formatting Logic Gates - high-priority,0
checking Technical Support Request,2
thesis manuscript Submitting on VS Code [mandatory],0
monitoring Minor Formatting Request (Microsoft Teams),2
checking Document Signature (Gmail),2
Personal Development refactoring,1
deadline: Embedded Systems (StackOverflow),0
Logic Gates Troubleshooting on Microsoft Word [high-priority],0
attending Attendance Check (Zoom),2
responding Group Chat (Slack),2
instant: Circuit Simulation (Canvas),0
approving Client Inquiry (Microsoft Teams),2
DevOps Learning optimization,1
learning Algorithms,1
replying Discord Ping,2
organizing for Laboratory Exercise,1
reviewing 8086 Assembly,1
confirming Email Replies (Google Meet),2
UI/UX Improvement backup management,1
Technical Documentation Formatting on Packet Tracer [immediate],0
improving DevOps Learning,1
Version Control Learning preventive review,1
Drafting final report - priority,0
pressing: Thesis (Jupyter Notebook),0
checking Reschedule Notice,2
checking Quick Question (WhatsApp),2
responding Urgent Reply (Facebook),2
replying Discord Ping (Microsoft Teams),2
immediate: final report (Excel),0
Task Reminder - Slack,2
forwarding Status Update (Microsoft Teams),2
rescheduling Classroom Announcement,2
improving Design Planning,1
Code Refactoring maintenance,1
documentation Compiling on Excel [emergency],0
Submitting laboratory exercise - time-sensitive,0
Microprocessors backup management,1
asap: laboratory exercise (StackOverflow),0
Research Review backup management,1
Email Replies - Canvas Notifications,2
Classroom Announcement - WhatsApp,2
Reviewing Embedded Systems - high-priority,0
approving Social Media Message (Facebook),2
planning for Technical Documentation,1
improving Exam Review,1
Simulating Technical Documentation - accelerated,0
organizing for Circuit Simulation,1
pressing: Data Structures (Tinkercad),0
urgent: Logic Gates (Tinkercad),0
Calendar Notification - Google Meet,2
high-priority: Database Management (Microsoft Word),0
Coding presentation slides - priority,0
final: final report (Microsoft Word),0
Social Media Message - WhatsApp,2
source code Simulating on Microsoft Word [urgent],0
rescheduling Queue Monitoring (Discord),2
Compiling simulation output - instant,0
Coding project proposal - pressing,0
reacting Quick Call,2
Troubleshooting Logic Gates - asap,0
strategizing for Requirement Analysis,1
thesis manuscript Designing on VS Code [time-sensitive],0
instant: simulation output (Packet Tracer),0
acknowledging Calendar Notification (Messenger),2
Reading Materials refactoring,1
Research Review refactoring,1
Queue Monitoring - Telegram,2
following up Event Reminder (Telegram),2
time-sensitive: Logic Gates (Tinkercad),0
attending Inbox Review,2
Microprocessors Submitting on Google Docs [deadline],0
answering Document Signature,2
urgent: 8086 Assembly (Microsoft Word),0
updating Non-Critical Ticket (Gmail),2
Logic Gates Reviewing on Proteus [priority],0
following up Meeting Request (Telegram),2
instant: simulation output (Canvas),0
replying Follow-Up Request,2
responding Phone Call,2
source code Reviewing on StackOverflow [deadline],0
answering Reschedule Notice (Microsoft Teams),2
8086 Assembly Formatting on Packet Tracer [important],0
Messages - Zoom,2
Simulating Database Management - important,0
Compiling Database Management - emergency,0
immediate: Thesis (Packet Tracer),0
critical: PostgreSQL (Tinkercad),0
immediate: 8086 Assembly (VS Code),0
